text,label,subcategory
Bugün 5 kilometre koşacağım,0,sport
Sabah 30 dakika yürüyüş yapacağım,0,sport
Akşam yoga seansı yapacağım,0,sport
Haftada 3 gün spor salonuna gideceğim,0,sport
30 dakika bisiklete bineceğim,0,sport
ip atlayacağım 100 kere,0,sport
Yüzme antrenmanına gideceğim,0,sport
Basketbol oynayacağım arkadaşlarla,0,sport
Pilates dersine katılacağım,0,sport
Şınav çekeceğim 20 tane,0,sport
mekik çekicem 50 tane,0,sport
Akşam koşusuna çıkacağım parkta,0,sport
voleybol antrenmanım var bugün,0,sport
Sabah esneme hareketleri yapacağım,0,sport
Tenis dersine başlayacağım,0,sport
Bugün dağa tırmanacağım arkadaşlarla,0,sport
Yarın sabah erken kalkıp koşuya çıkacağım,0,sport
Plates yapıcam evde,0,sport
Akşamları yürüyüşe çıkma alışkanlığı edineceğim,0,sport
Crossfit antrenmanına gideceğim,0,sport
Sabah 6 da kalkıp egzersiz yapacağım,0,sport
Bugün 10000 adım atmaya çalışacağım,0,sport
Hafta sonu doğa yürüyüşüne gideceğim,0,sport
Pazartesi günü spor salonuna kayıt yaptıracağım,0,sport
Trambolinde 15 dakika zıplayacağım,0,sport
Sahile gidip yürüyüş yapacağım,0,sport
Sabah egzersizine başlayacağım,0,sport
Düzenli yürüyüşe çıkmaya başlayacağım,0,sport
İlk maratonuma hazırlanacağım,0,sport
Halı sahaya gideceğim arkadaşlarla,0,sport
Daha çok bol bol egzersiz yapacağım,0,sport
Bugün Python çalışacağım,0,study
2 saat kitap okuyacağım,0,study
Matematik soruları çözeceğim,0,study
İngilizce kelime ezberleyeceğim,0,study
Online kursa devam edeceğim,0,study
Tezimi yazmaya devam edeceğim,0,study
Algoritma çalışacam bugün,0,study
KPSS hazırlığı yapacağım,0,study
Yarın sınava çalışmaya başlayacağım,0,study
Bir saat ders dinleyeceğim,0,study
Kodlama egzersizleri çözeceğim,0,study
React öğrenmeye devam edeceğim,0,study
veri yapıları konusunu tekrar edicem,0,study
Yeni bir kitap almaya gideceğim,0,study
Akşam dersleri bitirip ödev yapacağım,0,study
Tarih konusunu özetleyeceğim,0,study
Fizik problemleri çözeceğim,0,study
Sertifika sınavına hazırlanacağım,0,study
ingilizce listening yapcam 30 dakika,0,study
Akademik makale okuyacağım,0,study
Yeni bir programlama dili öğrenmeye başlayacağım,0,study
Kütüphaneye gidip kitap alacağım,0,study
Online ders dinleyeceğim,0,study
Çalışmaktan kaçındığım konuya başlayacağım,0,study
Hatasız 20 İngilizce cümle kurmaya çalışacağım,0,study
Patron ile toplantıya hazırlanacağım,0,study
Yeni bir dil öğrenmeye başlayacağım,0,study
İspanyolca dersi almaya gideceğim,0,study
Almanca pratik yapıcam,0,study
Yeni bir uygulama yazmaya başlayacağım,0,study
Github e kod push edicem,0,study
Açık kaynak projeye katkı vereceğim,0,study
Online forumda soru cevaplayacağım,0,study
Mülakata hazırlanacağım,0,study
Yarın mülakatım var hazırlık yapacağım,0,study
Hedefe odaklanıp çalışacağım,0,study
Gitar çalışacağım bugün,0,hobby
Resim yapacağım akşam,0,hobby
Yeni bir tarif deneyeceğim mutfakta,0,hobby
Bahçeyi sulayacağım,0,hobby
Örgü öreceğim,0,hobby
Fotoğraf çekmeye gideceğim,0,hobby
Yeni film izleyeceğim akşam,0,hobby
Podcast dinleyeceğim,0,hobby
