text,label,subcategory,method
Bugün 5 kilometre koşacağım,0,sport,original
şimdi bugün 5 kilometre koşacam.!,0,sport,time_modifier+future_tense+punctuation
Bugün 5 kilometre koşacağım bu gece,0,sport,time_modifier
akşam olunca bugün 5 kilometre koşacağım,0,sport,time_modifier
az sonra bugün 5 kilometre koşıcam,0,sport,future_tense+case_variant+time_modifier
ben de bugün 5 kilometre koşacağım,0,sport,subject_prefix
Bugün 5 kilometre koşacağım bugün içinde,0,sport,case_variant+time_modifier
yakında bugün 5 kilometre koşacağım,0,sport,time_modifier
Bugün 5 kilometre tempo yapacam bugün içinde,0,sport,time_modifier+synonym_swap+future_tense
Bugün 5 kilometre tempo yapacağım,0,sport,synonym_swap
Bugün 5 kilometre tempo yapacağım.!,0,sport,synonym_swap+punctuation
Bu hafta bugün 5 kilometre koşacağım.,0,sport,time_modifier+case_variant+punctuation
Sabah 30 dakika yürüyüş yapacağım,0,sport,original
kesin olarak sabah 30 dakika yürüyüş yapacağım,0,sport,typo+subject_prefix
ben sabah 30 dakika gezinti yapacağım.,0,sport,synonym_swap+punctuation+subject_prefix
ben de sabah 30 dakika yuruyüş yapacağım,0,sport,typo+subject_prefix
karar verdim artık sabah 30 dakika yürüyüş yapacağım az sonra,0,sport,filler+time_modifier+subject_prefix
ben sabah 30 dakika yürüyüş yapacağim,0,sport,typo+subject_prefix
Sabah 30 dakika yürüyüş yapacağım az sonra,0,sport,time_modifier
ya sabah 30 dakika yürüyüş yapacam...,0,sport,punctuation+future_tense+subject_prefix
saatler içinde sabah 30 dakika yürüyüş yapacağım.,0,sport,time_modifier+typo+punctuation
Sabah 30 dakika yürüyüş yapacağım.,0,sport,punctuation
bugün ben sabah 30 dakika yürüyüş yapıcam,0,sport,future_tense+case_variant+subject_prefix
gece olunca sabah 30 dakika yürüyüş yapacağım,0,sport,case_variant+time_modifier
Akşam yoga seansı yapacağım,0,sport,original
Akşam yoga seansı yapacağım yarın,0,sport,time_modifier
ya akşam yoga seansı yapacağım akşama..,0,sport,subject_prefix+time_modifier+punctuation
Akşam yoga seansı yapacağım az sonra,0,sport,typo+time_modifier+case_variant
akşam yoga seansı yapacağım...,0,sport,punctuation+synonym_swap+case_variant
saatler içinde akşam yoga seansı yapacağım,0,sport,synonym_swap+case_variant+time_modifier
